epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.637,0.8732,3.36207,0.99403,0.00543,1,0.476,0.30849,0.61846,3.65112,0.70442,0.00035552,0.00035552,0.00035552
2,290.921,0.65385,1.43298,0.9047,0.0044,0.85676,0.7211,0.64982,0.40524,3.06028,0.66434,0.000715001,0.000715001,0.000715001
3,429.108,0.56463,1.04869,0.88705,0.99872,0.62125,0.995,0.93,0.41556,1.9972,0.64617,0.00106722,0.00106722,0.00106722
4,582.835,0.53039,0.97841,0.85942,0.96533,0.99174,0.99458,0.96553,0.3572,0.82998,0.64167,0.001078,0.001078,0.001078
5,725.749,0.47683,0.8503,0.84782,0.99581,1,0.995,0.93844,0.37793,0.58299,0.65669,0.001067,0.001067,0.001067
6,879.887,0.47767,0.77478,0.8538,0.99097,0.99947,0.995,0.93688,0.3084,0.62149,0.66073,0.00105601,0.00105601,0.00105601
7,1025.09,0.42481,0.70544,0.83684,0.99304,1,0.995,0.9622,0.26906,0.51429,0.6527,0.00104501,0.00104501,0.00104501
8,1165.07,0.40615,0.62935,0.82693,0.99696,1,0.995,0.91844,0.40198,0.49745,0.68022,0.00103401,0.00103401,0.00103401
9,1301.37,0.40213,0.60404,0.82983,0.99675,1,0.995,0.97339,0.28712,0.37762,0.65191,0.00102301,0.00102301,0.00102301
10,1438.47,0.37549,0.56721,0.83288,0.99737,1,0.995,0.96868,0.29193,0.43381,0.6804,0.00101201,0.00101201,0.00101201
11,1575.33,0.37628,0.52393,0.82552,0.99534,1,0.995,0.99226,0.20338,0.32352,0.66511,0.00100101,0.00100101,0.00100101
12,1713.9,0.34876,0.47791,0.817,0.99677,1,0.995,0.99318,0.21394,0.3585,0.65167,0.000990012,0.000990012,0.000990012
13,1850.39,0.33843,0.46349,0.81673,0.99722,1,0.995,0.97837,0.20889,0.32427,0.64402,0.000979013,0.000979013,0.000979013
14,1986.59,0.33674,0.46499,0.81747,0.99264,1,0.995,0.95474,0.32138,0.35054,0.67551,0.000968014,0.000968014,0.000968014
15,2123.29,0.33222,0.4586,0.81613,0.99759,1,0.995,0.99308,0.19541,0.29968,0.6611,0.000957015,0.000957015,0.000957015
16,2261.03,0.31866,0.42631,0.81023,0.99732,1,0.995,0.98364,0.19201,0.29505,0.65801,0.000946016,0.000946016,0.000946016
17,2396.73,0.33076,0.40654,0.81564,0.99738,1,0.995,0.99185,0.2213,0.29995,0.66838,0.000935018,0.000935018,0.000935018
18,2535.39,0.31547,0.38515,0.8094,0.99669,1,0.995,0.99147,0.21374,0.30539,0.65396,0.000924019,0.000924019,0.000924019
19,2678.5,0.31177,0.3793,0.80255,0.99791,1,0.995,0.995,0.19868,0.27038,0.65319,0.00091302,0.00091302,0.00091302
20,2816.33,0.30825,0.36809,0.81995,0.99753,1,0.995,0.99251,0.21066,0.2607,0.64461,0.000902021,0.000902021,0.000902021
21,2954.29,0.29094,0.35059,0.80794,0.99705,1,0.995,0.98918,0.21023,0.2719,0.65706,0.000891022,0.000891022,0.000891022
22,3094.03,0.27876,0.34529,0.80315,0.99781,1,0.995,0.98803,0.21315,0.27149,0.67216,0.000880023,0.000880023,0.000880023
