epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2616,1.3276,4.44489,1.25579,0.00073,0.10467,0.0036,0.0012,0.56574,3.79849,0.666,0.00012221,0.00012221,0.00012221
2,33.5632,0.66715,3.22989,0.89054,0.00445,1,0.29315,0.2275,0.6179,3.45795,0.67384,0.000254687,0.000254687,0.000254687
3,50.1111,0.56681,1.66039,0.87628,0.00477,1,0.44324,0.31622,0.55741,3.46463,0.65368,0.000386284,0.000386284,0.000386284
4,68.3705,0.47921,1.00324,0.85027,0.00485,1,0.18853,0.0823,0.44637,3.60189,0.62185,0.000517001,0.000517001,0.000517001
5,83.9094,0.43162,0.87186,0.83529,0.00585,1,0.60314,0.50623,0.45986,3.38176,0.63639,0.000646838,0.000646838,0.000646838
6,99.7054,0.42687,0.81195,0.83941,0.00429,1,0.85761,0.79323,0.40305,3.06574,0.66845,0.000775795,0.000775795,0.000775795
7,115.418,0.41583,0.74858,0.82806,0.95567,0.8,0.995,0.94315,0.37309,2.38386,0.68108,0.000903872,0.000903872,0.000903872
8,131.23,0.41374,0.72118,0.83172,0.98465,0.72747,0.995,0.90157,0.43871,1.69383,0.70772,0.00103107,0.00103107,0.00103107
9,146.906,0.3993,0.66708,0.83012,0.98791,0.90808,0.995,0.92078,0.36933,1.60452,0.66345,0.00108167,0.00108167,0.00108167
10,162.291,0.3996,0.63126,0.82781,0.98122,1,0.995,0.96617,0.29993,1.18604,0.67909,0.001078,0.001078,0.001078
11,178.087,0.37976,0.58892,0.82327,0.9794,1,0.995,0.90162,0.406,0.50674,0.7019,0.00107434,0.00107434,0.00107434
12,194.386,0.36622,0.56812,0.82004,0.98868,1,0.995,0.96805,0.30699,0.42333,0.67505,0.00107067,0.00107067,0.00107067
13,210.447,0.34929,0.5124,0.81924,0.98842,1,0.995,0.9738,0.29096,0.39616,0.6737,0.001067,0.001067,0.001067
14,226.263,0.3302,0.48492,0.80977,0.99602,1,0.995,0.979,0.29898,0.35326,0.68583,0.00106334,0.00106334,0.00106334
15,241.965,0.33394,0.46766,0.81438,0.99747,0.99497,0.995,0.95345,0.32585,0.30173,0.71448,0.00105967,0.00105967,0.00105967
16,257.547,0.32339,0.43387,0.80937,0.99722,1,0.995,0.96491,0.3164,0.31584,0.73243,0.00105601,0.00105601,0.00105601
17,273.208,0.31403,0.40449,0.8096,0.99317,1,0.995,0.98631,0.23194,0.30375,0.6837,0.00105234,0.00105234,0.00105234
18,289.093,0.30079,0.38713,0.80281,0.99303,1,0.995,0.98783,0.22296,0.26739,0.68114,0.00104867,0.00104867,0.00104867
19,304.542,0.31202,0.37849,0.80312,0.99641,1,0.995,0.96999,0.25971,0.26002,0.69928,0.00104501,0.00104501,0.00104501
20,320.246,0.28184,0.35836,0.80647,0.99719,1,0.995,0.98525,0.26535,0.26822,0.7109,0.00104134,0.00104134,0.00104134
