epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.776,1.00006,4.0963,1.06504,0.00467,0.97857,0.20342,0.16112,0.55269,3.59189,0.7052,0.00012221,0.00012221,0.00012221
2,463.779,0.6283,2.87382,0.86792,0.0044,1,0.47775,0.38315,0.63735,3.53619,0.70652,0.000250471,0.000250471,0.000250471
3,694.893,0.52456,1.45712,0.87087,0.00455,1,0.3149,0.19294,0.59114,3.72152,0.71675,0.000373452,0.000373452,0.000373452
4,924.173,0.45466,0.98105,0.84773,0.00432,0.99286,0.10615,0.07381,0.60192,3.57309,0.7069,0.000491153,0.000491153,0.000491153
5,1154.98,0.43316,0.87277,0.83833,0.00411,0.99286,0.5101,0.44742,0.4838,3.49512,0.6677,0.000603575,0.000603575,0.000603575
6,1384.01,0.40036,0.78555,0.83736,0.00433,0.98571,0.79715,0.73315,0.41842,3.27102,0.67346,0.000710718,0.000710718,0.000710718
7,1611.44,0.39773,0.73218,0.83036,0.00431,0.99286,0.79915,0.74958,0.40731,2.86911,0.65695,0.000812581,0.000812581,0.000812581
8,1839.84,0.39862,0.7105,0.83083,0.99584,0.49735,0.995,0.93414,0.36659,2.43189,0.69277,0.000909165,0.000909165,0.000909165
9,2070.73,0.36945,0.63657,0.81945,0.98539,0.79825,0.995,0.91934,0.3953,1.8076,0.77306,0.000935018,0.000935018,0.000935018
10,2298.66,0.38729,0.60093,0.82279,0.97754,1,0.995,0.95263,0.31443,1.33387,0.68589,0.00091302,0.00091302,0.00091302
11,2529.09,0.34904,0.56037,0.82587,0.86373,0.96047,0.995,0.98931,0.20507,1.1512,0.66351,0.000891022,0.000891022,0.000891022
12,2757.55,0.31226,0.50592,0.81408,0.97416,1,0.995,0.97773,0.28929,0.72339,0.66936,0.000869024,0.000869024,0.000869024
13,2985.19,0.33275,0.49164,0.80868,0.97499,1,0.995,0.98589,0.2412,0.58934,0.66543,0.000847026,0.000847026,0.000847026
14,3210.2,0.30644,0.44783,0.81152,0.99306,1,0.995,0.96306,0.31535,0.50192,0.75189,0.000825029,0.000825029,0.000825029
15,3432.33,0.30363,0.43664,0.81123,0.99071,1,0.995,0.98098,0.27572,0.44159,0.76442,0.000803031,0.000803031,0.000803031
16,3655.08,0.28668,0.41236,0.80029,0.99349,1,0.995,0.99085,0.20838,0.34826,0.7215,0.000781033,0.000781033,0.000781033
17,3877.56,0.28178,0.40014,0.81242,0.99768,1,0.995,0.99183,0.20064,0.33127,0.70926,0.000759035,0.000759035,0.000759035
18,4102.72,0.27159,0.37729,0.80336,0.99575,1,0.995,0.99181,0.20795,0.29033,0.72484,0.000737037,0.000737037,0.000737037
19,4325.12,0.25758,0.3553,0.79582,0.99712,1,0.995,0.99132,0.17832,0.32344,0.71983,0.00071504,0.00071504,0.00071504
20,4547.86,0.24985,0.3471,0.80025,0.99791,1,0.995,0.99199,0.18669,0.29831,0.7256,0.000693042,0.000693042,0.000693042
21,4770.47,0.24496,0.33378,0.79692,0.99739,1,0.995,0.98912,0.21309,0.29897,0.73149,0.000671044,0.000671044,0.000671044
22,4996.42,0.23426,0.31501,0.79241,0.99665,0.99403,0.995,0.98818,0.21993,0.30423,0.73986,0.000649046,0.000649046,0.000649046
23,5225.14,0.25042,0.32299,0.80626,0.99785,1,0.995,0.98703,0.2342,0.31821,0.74527,0.000627048,0.000627048,0.000627048
24,5455.33,0.22012,0.29622,0.79209,0.99528,1,0.995,0.99294,0.18681,0.2905,0.73,0.000605051,0.000605051,0.000605051
25,5680.9,0.21516,0.29268,0.77934,0.99504,0.99904,0.995,0.99224,0.15913,0.26132,0.70943,0.000583053,0.000583053,0.000583053
26,5906.74,0.21384,0.27954,0.79566,0.99674,1,0.995,0.99359,0.17034,0.27422,0.73563,0.000561055,0.000561055,0.000561055
27,6132.51,0.21666,0.27607,0.79222,0.99321,0.99889,0.995,0.99341,0.21221,0.26276,0.74236,0.000539057,0.000539057,0.000539057
28,6358.47,0.22048,0.27763,0.79052,0.99534,1,0.995,0.99368,0.14142,0.25361,0.73394,0.000517059,0.000517059,0.000517059
29,6583.66,0.20395,0.25607,0.78453,0.99536,0.99401,0.995,0.99459,0.14467,0.22795,0.72587,0.000495062,0.000495062,0.000495062
30,6809.71,0.19244,0.24966,0.7852,0.99364,0.99923,0.995,0.99455,0.13474,0.25336,0.72477,0.000473064,0.000473064,0.000473064
31,7036.8,0.19046,0.24585,0.79221,0.99602,1,0.995,0.99451,0.13442,0.22654,0.72688,0.000451066,0.000451066,0.000451066
32,7262.68,0.1915,0.24784,0.79003,0.99763,1,0.995,0.9945,0.13817,0.20573,0.72954,0.000429068,0.000429068,0.000429068
33,7487.84,0.1817,0.23229,0.78771,0.99741,1,0.995,0.99355,0.13818,0.21961,0.74691,0.00040707,0.00040707,0.00040707
34,7713.41,0.18104,0.23425,0.78836,0.99772,1,0.995,0.99451,0.13545,0.22977,0.74657,0.000385073,0.000385073,0.000385073
35,7938.62,0.17379,0.22619,0.78029,0.9983,1,0.995,0.99376,0.12781,0.20482,0.74686,0.000363075,0.000363075,0.000363075
36,8164.47,0.17744,0.23029,0.78727,0.99782,1,0.995,0.99464,0.13856,0.21092,0.74663,0.000341077,0.000341077,0.000341077
37,8389.96,0.18125,0.22673,0.78607,0.99745,1,0.995,0.99459,0.14367,0.20391,0.74069,0.000319079,0.000319079,0.000319079
38,8616.1,0.17188,0.21639,0.78084,0.99738,1,0.995,0.99454,0.10382,0.18563,0.7822,0.000297081,0.000297081,0.000297081
39,8841.81,0.15906,0.21356,0.77829,0.99686,1,0.995,0.99453,0.14239,0.19847,0.77536,0.000275084,0.000275084,0.000275084
40,9067.77,0.16294,0.21303,0.77818,0.99731,1,0.995,0.995,0.09616,0.16233,0.77937,0.000253086,0.000253086,0.000253086
41,9293.38,0.1447,0.22385,0.77788,0.99667,1,0.995,0.995,0.13065,0.20375,0.77911,0.000231088,0.000231088,0.000231088
42,9517.89,0.14578,0.20955,0.77049,0.99718,1,0.995,0.99454,0.12662,0.22439,0.75591,0.00020909,0.00020909,0.00020909
43,9745.01,0.14145,0.20677,0.77084,0.99622,1,0.995,0.99454,0.10733,0.19495,0.77401,0.000187092,0.000187092,0.000187092
44,9971.64,0.13496,0.19859,0.77412,0.99639,1,0.995,0.99401,0.12362,0.19637,0.7579,0.000165095,0.000165095,0.000165095
45,10195.4,0.1356,0.19392,0.78001,0.99633,1,0.995,0.99466,0.10203,0.20143,0.75265,0.000143097,0.000143097,0.000143097
46,10417.9,0.123,0.18402,0.77165,0.99785,1,0.995,0.9946,0.10906,0.1799,0.77023,0.000121099,0.000121099,0.000121099
47,10641.3,0.12102,0.18232,0.78157,0.99815,1,0.995,0.99465,0.11764,0.19814,0.75285,9.91012e-05,9.91012e-05,9.91012e-05
48,10867.3,0.11595,0.1695,0.76089,0.99781,1,0.995,0.99469,0.09189,0.17281,0.7401,7.71034e-05,7.71034e-05,7.71034e-05
49,11092.2,0.11274,0.17157,0.76524,0.99808,1,0.995,0.99469,0.08828,0.16043,0.72906,5.51056e-05,5.51056e-05,5.51056e-05
50,11316.5,0.10868,0.16754,0.76498,0.99815,1,0.995,0.99469,0.08729,0.16006,0.7337,3.31078e-05,3.31078e-05,3.31078e-05
