epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.99667,1.78053,4.45619,1.34729,0,0,0,0,1.84785,4.35173,1.49951,3.333e-05,3.333e-05,3.333e-05
2,14.5236,1.86128,4.44296,1.37405,0,0,0,0,1.34931,4.25102,1.25533,7.75134e-05,7.75134e-05,7.75134e-05
3,20.6088,1.2344,4.31507,1.09723,0,0,0,0,1.0531,4.08915,1.04473,0.000121403,0.000121403,0.000121403
4,27.7385,1.01165,4.01174,0.96798,0.00595,0.62153,0.01468,0.00808,0.87029,3.80088,0.85138,0.000165,0.000165,0.000165
5,34.2092,0.91973,3.53989,0.90999,0.00621,0.95294,0.1598,0.07132,0.68582,3.7651,0.80551,0.000208304,0.000208304,0.000208304
6,42.2957,0.78643,3.04546,0.87072,0.00624,0.95686,0.18343,0.11,0.76222,3.67954,0.78558,0.000251314,0.000251314,0.000251314
7,48.5525,0.8252,2.47848,0.88877,0.00641,0.94331,0.17164,0.08579,0.6927,3.75137,0.80411,0.000294031,0.000294031,0.000294031
8,56.096,0.74687,1.87971,0.88337,0.00629,0.96471,0.20895,0.11292,0.68123,3.6943,0.78814,0.000336454,0.000336454,0.000336454
9,62.2674,0.75467,1.52237,0.87929,0.00627,0.95319,0.16559,0.07503,0.75776,3.75482,0.82897,0.000378584,0.000378584,0.000378584
10,69.5293,0.65418,1.19586,0.86268,0.00622,0.85389,0.08858,0.03936,0.73535,3.70397,0.83196,0.000420421,0.000420421,0.000420421
11,75.8465,0.65562,1.01079,0.85801,0.00679,0.79273,0.05275,0.01963,0.77773,3.78178,0.85003,0.000461965,0.000461965,0.000461965
12,82.5718,0.63441,0.91878,0.85269,0.00663,0.77807,0.08853,0.03947,0.61546,3.7114,0.81151,0.000503215,0.000503215,0.000503215
13,89.1587,0.57952,0.8608,0.84033,0.00658,0.72035,0.05737,0.0288,0.5283,3.67337,0.81293,0.000544172,0.000544172,0.000544172
14,95.1588,0.53829,0.81725,0.83733,0.00679,0.81206,0.03365,0.01532,0.61479,3.64471,0.80634,0.000584836,0.000584836,0.000584836
