epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.74611,1.59112,4.36037,1.24712,0.00043,0.0291,0.00025,5e-05,0.86729,3.82577,0.85651,0.00013332,0.00013332,0.00013332
2,14.4607,0.84156,3.2566,0.88846,0.00846,0.94902,0.18814,0.11396,0.95628,3.78128,0.80058,0.000276375,0.000276375,0.000276375
3,21.1692,0.7798,1.80135,0.88273,0.00534,0.28756,0.00564,0.00397,0.6329,3.75142,0.80851,0.000418,0.000418,0.000418
4,28.8546,0.63128,0.99267,0.85816,0.00786,0.64126,0.0872,0.03597,0.69922,3.6965,0.83446,0.000558196,0.000558196,0.000558196
5,35.4126,0.59177,0.8107,0.84602,0.00883,0.99355,0.06603,0.02575,0.72096,3.59539,0.88181,0.000696961,0.000696961,0.000696961
6,43.2082,0.55539,0.74249,0.84131,0.00588,1,0.72646,0.61949,0.5659,3.34264,0.87764,0.000834297,0.000834297,0.000834297
7,51.6264,0.55166,0.72523,0.83908,0.00687,1,0.98459,0.8229,0.58952,2.77544,0.87039,0.000970203,0.000970203,0.000970203
8,58.4938,0.51648,0.63933,0.83774,0.93445,0.10629,0.94662,0.85348,0.43134,2.2722,0.86944,0.0010725,0.0010725,0.0010725
9,66.1195,0.48878,0.57346,0.83557,1,0.35419,0.98747,0.87827,0.47506,2.0146,0.8835,0.001067,0.001067,0.001067
10,72.6104,0.48745,0.54998,0.82408,0.98966,0.95389,0.9774,0.91203,0.38117,1.12148,0.83812,0.0010615,0.0010615,0.0010615
11,80.1901,0.4624,0.52784,0.82379,0.96683,0.95708,0.99378,0.90316,0.46284,0.81835,0.89209,0.00105601,0.00105601,0.00105601
12,86.7184,0.45154,0.50486,0.8261,0.90737,0.9601,0.9919,0.92781,0.42051,0.80437,0.8638,0.00105051,0.00105051,0.00105051
13,94.5496,0.44392,0.48373,0.81568,0.9905,0.96811,0.99231,0.91437,0.42839,0.55918,0.88196,0.00104501,0.00104501,0.00104501
14,101.198,0.415,0.45183,0.8218,0.98208,0.98623,0.99229,0.91197,0.44557,0.3934,0.86726,0.00103951,0.00103951,0.00103951
15,108.405,0.40739,0.44013,0.81121,0.99667,0.99993,0.995,0.93495,0.36058,0.33264,0.85261,0.00103401,0.00103401,0.00103401
16,115.693,0.40886,0.43834,0.81951,0.99141,0.99698,0.99488,0.95484,0.32527,0.31321,0.8438,0.00102851,0.00102851,0.00102851
17,122.473,0.40235,0.42575,0.81616,0.99531,1,0.995,0.92008,0.4346,0.31144,0.85196,0.00102301,0.00102301,0.00102301
18,130.082,0.39906,0.42218,0.81548,0.99798,0.9973,0.995,0.91723,0.36981,0.32307,0.87508,0.00101751,0.00101751,0.00101751
19,136.655,0.40362,0.39952,0.81654,0.98952,0.99331,0.99496,0.95879,0.34491,0.31688,0.84957,0.00101201,0.00101201,0.00101201
20,144.393,0.37508,0.38355,0.80712,0.98524,1,0.99488,0.96203,0.30937,0.32096,0.85288,0.00100651,0.00100651,0.00100651
21,150.95,0.3745,0.3836,0.80877,0.9809,1,0.99419,0.95323,0.30606,0.30891,0.84878,0.00100101,0.00100101,0.00100101
